DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TXDDMI-RESULT,SIGNALOFF-RESULT,WRITEFLASH-RESULT,VERIFYSIGNAL-RESULT,WRITEMAC-RESULT,ERROR-CODE,TOTAL-RESULT,TOTAL-TIME
2018/05/25 15:38:05,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,00
2018/05/25 15:38:11,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,00
2018/05/25 15:38:12,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,00
2018/05/25 15:38:13,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,00
