DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TUNING-CROSSING,TXDDMI-RESULT,ERROR-CODE,TOTAL-RESULT,TOTAL-TIME
2018/06/25 09:54:17,A4F4C20D70A3,--,FAIL,NONE,NONE,NONE,,FAIL,03
2018/06/25 09:56:36,A4F4C20D70A3,--,PASS,PASS,PASS,FAIL,,FAIL,013
2018/06/25 09:57:15,A4F4C20D70A3,--,PASS,PASS,PASS,PASS,,PASS,013
2018/06/25 09:58:41,A4F4C20D70A3,--,PASS,PASS,PASS,PASS,,PASS,015
2018/06/25 10:00:23,021018010001,--,Wait,NONE,NONE,NONE,,FAIL,05
2018/06/25 10:02:40,--,--,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,00
2018/06/25 10:02:59,021018010001,--,Wait,NONE,NONE,NONE,,FAIL,012
2018/06/25 10:03:47,021018010001,--,Wait,NONE,NONE,NONE,,FAIL,011
